sig_id,cp_type,cp_time,cp_dose,g-0,g-1,g-2,g-3,g-4,g-5,c-0,c-1,c-2,c-3,c-4,c-5,c-6,c-7
id_000644bb2,trt_cp,24,D1,1.062,0.5577,-0.2479,-0.6208,-0.1944,-1.012,-0.06,0.1083,0.6864,0.4043,0.4213,-0.6797,0.2888,0.4323
id_000779bfc,trt_cp,72,D1,0.0743,0.4087,0.2991,0.0604,1.019,0.5207,0.0927,0.2723,0.2772,0.7776,0.3679,0.5696,0.2835,1.408
id_000a6266a,trt_cp,48,D1,0.628,0.5817,1.554,-0.0764,-0.0323,1.239,-0.1312,-1.464,0.3394,-1.779,0.2188,0.5826,-0.7513,0.0543
id_0015fd391,trt_cp,48,D1,-0.5138,-0.2491,-0.2656,0.5288,4.062,-0.8095,-0.3998,-4.552,-2.735,-1.963,-2.861,-1.267,-2.583,-0.5036
id_001626bd3,trt_cp,72,D2,-0.3254,-0.4009,0.97,0.6919,1.418,-0.8244,-0.3774,0.7364,-0.1659,0.2341,1.006,0.3204,-0.0852,-0.2284
id_001762a82,trt_cp,24,D1,-0.6111,0.2941,-0.9901,0.2277,1.281,0.5203,0.0877,1.027,0.4862,0.7869,0.7077,0.4424,1.334,0.8581
id_001bd861f,trt_cp,24,D2,2.044,1.7,-1.539,5.944,-2.167,-4.036,0.3467,0.2555,-0.4382,-0.1401,0.8019,0.4584,1.048,-0.7264
id_0020d0484,trt_cp,48,D1,0.2711,0.5133,-0.1327,2.595,0.698,0.5846,1.636,1.148,0.2302,0.7595,0.2395,0.1858,-0.2375,-0.1167
id_00224bf20,trt_cp,48,D1,-0.3014,0.5545,-0.2576,-0.139,-0.6487,-0.6057,-0.9646,-0.0619,-0.7304,0.5345,-0.6229,0.7859,-0.4887,-0.951
id_0023f063e,trt_cp,48,D2,-0.063,0.2564,-0.5279,-0.2541,-0.0182,-1.537,-0.9629,-1.156,-0.5949,0.3754,-0.614,-0.8052,-0.8989,0.1139
id_002452c7e,trt_cp,72,D2,-0.2875,0.0322,-0.8863,-0.0016,-0.7471,-0.389,0.2745,0.6423,-0.4411,0.2441,-0.8348,0.8503,-1.186,0.2
id_0024bcd70,trt_cp,48,D2,-0.3864,-0.5551,-0.8978,-0.2616,-0.2801,-0.7128,0.3468,0.4507,-0.0784,0.1469,0.2175,1.228,-0.251,0.5305
id_0025c5949,trt_cp,48,D1,0.003,0.7189,1.889,-0.8711,1.313,1.183,0.5958,0.1479,0.157,-0.2468,1.22,-0.2343,0.9666,1.423
id_00289dc6e,trt_cp,48,D2,-0.6884,-0.4203,-1.264,-0.1932,1.717,-0.3408,0.5582,0.7574,0.1456,-0.8173,0.5402,0.1891,-0.0688,-0.0981
id_002d31e2c,trt_cp,72,D1,0.4242,1.704,-1.323,-0.3163,-0.4642,-2.381,-3.892,-5.699,-5.412,-3.525,-7.736,-2.519,-5.561,-1.333
id_002e08ff8,trt_cp,48,D1,0.0667,-0.6472,-0.244,-0.522,0.8223,0.1867,0.4993,-0.0276,1.402,-0.0802,1.318,1.204,0.4515,-0.0207
id_002fb9c19,trt_cp,48,D1,8.738,0.1914,2.438,-0.293,3.201,1.491,-10,-9.95,-10,-10,-10,-10,-10,-7.978
id_0031dd989,trt_cp,24,D2,-0.4764,-0.5513,1.856,-0.2618,-0.331,-0.9612,0.7731,0.7456,0.8019,0.1219,-0.3091,0.0961,1.35,0.5624
id_003603254,trt_cp,72,D2,-0.4694,-1.518,-2.043,0.575,0.5077,0.288,-0.3138,0.4016,-0.582,-0.9739,-0.9143,-0.6768,-2.04,0.4061
id_0036b0342,trt_cp,48,D1,-0.1428,-0.1957,-0.6397,0.0726,-0.8058,1.003,0.799,-0.0308,0.0065,-0.8178,0.3413,0.1837,0.4829,-0.391
id_0039a2ff9,trt_cp,48,D2,-0.2924,0.0985,-0.5631,-0.3963,0.1672,-0.8124,0.2601,-0.289,0.8639,0.1035,-0.6402,-0.1034,0.4703,0.0061
id_003b43239,trt_cp,48,D1,-0.1119,0.9003,0.3911,0.1339,0.7373,-0.1281,-0.5232,-0.0718,-0.3195,0.7292,0.3406,-0.4018,0.3103,0.8202
id_003d4b6f0,trt_cp,72,D1,0.6111,-0.2907,-0.7853,0.1947,-0.9804,-0.474,0.2064,0.864,0.2158,-0.5372,0.6599,0.2201,0.1174,-0.0817
id_003fdd734,trt_cp,72,D1,-0.0185,0.3547,-0.3312,0.4509,-0.7054,0.275,0.5826,0.4644,0.4732,0.5159,0.8078,0.491,0.5405,0.2385
id_00505b3c8,trt_cp,72,D2,0.4442,0.1313,-0.4171,1.286,-0.5766,0.6683,-0.3508,0.5522,-0.3035,-0.655,-1.178,0.8106,0.0236,-0.5412
id_0054388ec,ctl_vehicle,48,D1,-0.6696,-0.2718,-1.223,-0.6226,-0.722,0.1588,0.4665,0.2532,0.7212,-0.4467,0.7621,0.2687,-0.1338,0.6366
id_00548fd5c,trt_cp,72,D1,-0.274,-0.9351,-0.7293,-0.1066,-0.2957,2.392,1.045,0.6662,0.6301,1.25,0.9381,1.643,0.5039,0.1977
id_00578737a,trt_cp,48,D2,-0.2156,0.8494,-1.113,0.5084,-0.2969,-0.1913,0.923,-0.2799,0.3696,-0.2377,0.6229,-0.3654,0.8177,1.018
id_005c3cb48,trt_cp,48,D1,0.1088,-0.0945,-0.0345,-0.0853,-0.6953,0.0164,0.1582,-0.193,-0.1827,0.2434,0.4034,-0.1294,-0.77,0.6155
id_005c3ee1a,trt_cp,72,D1,0.5497,-0.9184,0.9593,-0.4681,1.061,-0.4574,-0.1116,-0.204,-0.1048,-0.2648,0.6325,0.3065,0.3367,0.6084
id_0062bfc63,trt_cp,72,D1,-0.0722,0.5334,-0.3034,0.2864,0.1788,-0.2903,-0.2761,-0.7487,-0.6199,-1.365,-0.3858,-0.9684,-0.4982,-0.916
id_0063cd461,trt_cp,48,D2,-0.2149,-0.3405,-1.121,-0.8598,-0.2194,-0.1063,-0.3092,0.3139,-0.538,0.894,0.2914,0.1976,-0.3797,-0.6657
id_006e27d96,trt_cp,24,D2,0.0549,0.2602,1.668,0.0603,-0.3156,0.3733,0.3162,-1.213,-0.5437,-2.098,0.2922,-0.5732,-1.013,0.0818
id_006f253ab,trt_cp,48,D2,-0.4857,0.5012,0.146,-0.1922,0.1351,0.195,0.2295,-0.1015,1.182,-0.6831,0.6393,0.8522,0.5867,2.406
id_006f6dbd6,trt_cp,48,D2,0.4609,0.5753,0.5495,2.461,1.605,-2.554,0.4289,-1.149,-2.284,-0.9955,-2.198,0.1699,-0.0773,-0.2245
id_0070c63e7,trt_cp,48,D2,-0.2412,0.432,-0.0671,0.0582,-0.3541,-0.6684,1.09,0.0209,-0.3098,-0.0185,0.8745,-0.206,-0.5183,1.517
id_00762e877,trt_cp,24,D1,-0.4026,0.1662,-0.6307,-0.4438,-0.5992,-0.2523,0.1518,-0.2419,-0.5789,0.6335,0.5526,-0.5268,0.7016,0.2945
